Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,REA,Faltas_REA,EJE,Faltas_EJE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
e5273cde-5c86-4453-ab68-098076063137,F,No,PUERICULTURA,MATUTINO,7,0,8,0,8,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
56aff87e-6621-47e6-9dd0-d60d76c51334,F,No,PUERICULTURA,MATUTINO,5,0,6,2,8,2,10,4,10,0,9,0,AC,0,NA,0,AC,0,,
da02f796-6d60-45ba-ad3d-cc151e57f495,F,No,PUERICULTURA,MATUTINO,8,0,8,0,9,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
a6cd7b24-380a-4e8f-a649-76b94a735d7c,F,No,PUERICULTURA,MATUTINO,8,0,8,4,9,2,9,4,9,1,9,1,AC,0,AC,0,AC,0,,
9b9f39f4-9a95-43c2-9e3b-c1d64d51fc2f,F,No,PUERICULTURA,MATUTINO,8,0,8,3,7,0,10,0,8,0,8,5,AC,0,AC,0,AC,0,,
def7a9a9-ae23-4341-8547-4113a6679a85,F,No,PUERICULTURA,MATUTINO,7,0,9,0,6,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
620b8ea5-1960-4b1c-b426-265f8f3b29fa,F,No,PUERICULTURA,MATUTINO,8,3,7,0,8,0,10,3,10,0,9,0,AC,0,AC,0,AC,0,,
80b5fd9b-de90-40c1-a7ab-26433bb54203,F,No,PUERICULTURA,MATUTINO,5,0,8,2,6,2,10,0,8,1,9,1,AC,0,AC,0,AC,0,,
cb113c8c-be76-42d4-8e67-d0b915659663,F,No,PUERICULTURA,MATUTINO,5,5,8,0,7,0,5,3,8,0,8,6,AC,0,AC,0,AC,0,,
7b58f4ce-aff8-4835-846e-67385e2c506a,F,No,PUERICULTURA,MATUTINO,10,0,8,0,9,0,10,1,10,0,9,0,AC,0,AC,0,AC,0,,
44d636fd-93a8-4945-8a58-15ef474cc961,F,No,PUERICULTURA,MATUTINO,10,0,9,0,9,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
f6e697ea-a216-4b18-b764-afae47394089,F,No,PUERICULTURA,MATUTINO,7,0,6,0,7,0,9,2,10,2,9,4,AC,0,AC,0,AC,0,,
98df0765-e355-4412-936c-f1a531a1be93,F,No,PUERICULTURA,MATUTINO,7,0,9,0,6,0,10,0,9,0,9,1,AC,0,AC,0,AC,0,,
bdc43403-9856-4685-8f90-84cb425fb06a,F,No,PUERICULTURA,MATUTINO,10,0,9,0,10,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
05de5053-e6ba-4335-b956-9752b0f9cb35,F,No,PUERICULTURA,MATUTINO,6,0,8,2,5,0,9,3,8,4,9,1,AC,0,AC,0,AC,0,,
ca1e72a0-8854-4cc8-bb47-5b2581be4658,F,No,PUERICULTURA,MATUTINO,9,0,8,0,8,0,10,1,10,0,9,0,AC,0,AC,0,AC,0,,
4a76d6b2-3b55-45f0-9f8e-552fcf6950ed,F,No,PUERICULTURA,MATUTINO,9,0,8,0,7,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
4954619a-7d49-4bda-b17e-28f7639ed584,F,No,PUERICULTURA,MATUTINO,8,3,8,0,6,0,10,3,10,0,9,0,AC,0,AC,0,AC,0,,
00a5efb0-5636-4ce1-b6da-a1717b327eb5,F,No,PUERICULTURA,MATUTINO,8,0,8,2,7,0,10,2,10,0,9,1,AC,0,AC,0,AC,0,,
a1a266a9-d6b0-4b5c-8930-62659616b1e1,F,No,PUERICULTURA,MATUTINO,7,0,8,0,8,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
61cb9c1b-6ee4-4321-adae-e30ea16d4425,F,No,PUERICULTURA,MATUTINO,6,2,8,0,10,0,10,4,10,3,9,3,AC,0,AC,0,AC,0,,
d5bd4964-1953-4e03-a36b-d4e04166c534,F,No,PUERICULTURA,MATUTINO,7,0,8,2,6,0,10,5,8,0,9,1,AC,0,AC,0,AC,0,,
0d9f7cde-5ce9-48fc-ab41-9140984bdd97,F,No,PUERICULTURA,MATUTINO,5,3,9,0,6,0,9,5,10,0,9,0,AC,0,AC,0,AC,0,,
c10424c3-0f0a-4628-8e48-1bc84dca1646,F,No,PUERICULTURA,MATUTINO,7,0,9,0,8,0,10,1,9,0,9,0,AC,0,AC,0,AC,0,,
d375d51c-ba77-4046-b545-7798e4526677,F,Si,PUERICULTURA,MATUTINO,5,5,7,4,,,,,,,,,,,,,,,,
226c76d9-b5d4-40e5-bf18-06b8509deba4,F,No,PUERICULTURA,MATUTINO,8,0,9,0,9,0,10,1,10,0,9,0,AC,0,AC,0,AC,0,,
93d3af94-e6b7-44ab-bed5-72a6c5f072a0,F,No,PUERICULTURA,MATUTINO,7,0,8,4,8,0,10,3,9,0,8,0,AC,0,AC,0,AC,0,,
b6d0a615-7f9c-4e35-88fc-43a1fe1441ed,F,No,PUERICULTURA,MATUTINO,7,0,9,2,7,0,10,0,10,0,9,3,AC,0,AC,0,AC,0,,
4fc9dec8-c777-444b-a32a-8556f8c5161b,F,No,PUERICULTURA,MATUTINO,7,3,8,4,6,0,10,4,9,1,8,0,AC,0,AC,0,AC,0,,
b29fa067-a07e-4ead-b412-06c2caaedf49,F,No,PUERICULTURA,MATUTINO,9,0,7,0,8,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
3c411ce9-00f2-4f28-aaba-28ac05a934b0,F,No,PUERICULTURA,MATUTINO,6,0,7,0,8,0,10,4,10,1,9,1,AC,0,AC,0,AC,0,,
